address,apartment_facing,balcony,basement,bath,bed,building_facing,building_registration_type,common_area_size,features,floor,front_road_size,garage_size,gas,house_rules,interior,lift,nearby_landmark,parking,preferred_tenant,price,property_type,property_url,purpose,servant_room,servant_washroom,service_charge,size,title,total_units,unit,unit_per_floor,year_built
"Road 1, Office Space Rent in Banani, Dhaka",,,Basement 01,,, West Facing, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",5th floor, 30 Ft.,120 Sq Ft,,,Semi-Furnished,01,Road 1,01,," BDT 130,000/-", Residential Cum Commercial,https://rents.com.bd/property/well-fitted-office-space-is-here-available-for-rental-purpose-covering-2800-sq-ft-in-banani/,For Rent,,,At Actual,2800 Sq Ft.,Well Fitted Office Space Is Here Available For Rental Purpose Covering 2800 Sq Ft In Banani, 05 Units,A5,01,1980
"Road 23, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, North Facing, Commercial,450 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",11th floor, 40 Ft.,120 Sq Ft,,,Un-Furnished,02,Road 23,01,," BDT 612,000/- (BDT 100/- Per Sq Ft)", Commercial,https://rents.com.bd/property/well-built-and-properly-designed-commercial-space-of-6120-sq-ft-for-rent-in-gulshan/,For Rent,,,"BDT 61,200/- (BDT 10/- Per Sq Ft)",6120 Sq Ft.,Well Built And Properly Designed Commercial Space Of 6120 SQ FT For Rent In Gulshan, 16 Units,,01,2000
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, East Facing, Commercial,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",5th floor, 60 Ft.,240 Sq Ft,,,Un-Furnished,02,Gulshan Avenue,02,," BDT 281,340/- (BDT 135/- Per Sq Ft)", Commercial,https://rents.com.bd/property/well-fitted-commercial-space-is-here-available-for-rental-purpose-covering-2084-sq-ft-in-gulshan-avenue/,For Rent,,,"BDT 20,840/- (BDT 10/- Per Sq Ft)",2084 Sq Ft.,Well Fitted Commercial Space Is Here Available For Rental Purpose Covering 2084 Sq Ft In Gulshan Avenue, 06 Units,,01,2005
"Road 11,, Banani, Commercial Space Rent in Banani, Dhaka",,,Basement 02,,, West Facing, Commercial, 150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,TV Cable,WiFi",9th floor, 40 Ft,120 Sq Ft,,, Un-Furnished,02 Available, Road 11,"
",," BDT 283,500/- (BDT 135/- Per Sq Ft)",Commercial,https://rents.com.bd/property/a-modern-well-planned-brand-new-commercial-space-of-2100-sq-ft-is-up-for-rent-is-situated-in-banani-2/,For Rent,,," BDT 28,000/-",2100 Sq Ft,A Modern Well-planned Brand New Commercial Space Of 2100 Sq Ft Is Up For Rent Is Situated In Banani, 09 Units,, 01,2022
"Road 21, Office Space Rent in Banani, Dhaka",,,Basement 01,,, East Facing, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",4th floor, 30 Ft.,120 Sq Ft,,,Semi-Furnished,01,Road 21,01,," BDT 150,000/-", Residential Cum Commercial,https://rents.com.bd/property/a-modern-well-planned-office-space-of-2800-sq-ft-is-up-for-rent-in-banani/,For Rent,,,"BDT 12,000/-",2800 Sq Ft.,A Modern Well-planned Office Space Of 2800 Sq Ft Is Up For Rent In Banani, 06 Units,A4,01,2000
"Road 11, Office Space Rent in Banani, Dhaka",,,Basement 01,,, South Facing, Residential,220 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",5th floor, 40 Ft.,120 Sq Ft,,,Un-Furnished,01,Road 11,01,," BDT 216,000/- (BDT 60/- Per Sq Ft)", Residential Cum Commercial,https://rents.com.bd/property/a-modern-well-planned-office-space-of-3600-sq-ft-is-up-for-rent-in-banani/,For Rent,,,At Actual,3600 Sq Ft.,A Modern Well-planned Office Space Of 3600 Sq Ft Is Up For Rent In Banani, 06 Units,A5,01,2002
"Road 23, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, North Facing, Commercial,450 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view",4th floor, 40 Ft.,120 Sq Ft,,,Un-Furnished,02,Road 23,01,," BDT 734,400/- (BDT 120/- Per Sq Ft)", Commercial,https://rents.com.bd/property/well-built-and-properly-designed-commercial-space-of-6120-sq-ft-for-rent-in-gulshan-2/,For Rent,,,"BDT 61,200/- (BDT 10/- Per Sq Ft)",6120 Sq Ft.,Well Built And Properly Designed Commercial Space Of 6120 SQ FT For Rent In Gulshan, 16 Units,,01,2000
"Road 1, Office Space Rent in Banani, Dhaka",,,Basement 02,,, east Facing, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view",5th floor, 40 Ft.,240 Sq Ft,,,Full-Furnished,02,Road 1,02,," BDT 165,000/-", Residential Cum Commercial,https://rents.com.bd/property/2900-sq-ft-nicely-planned-office-space-is-available-for-rent-in-banani/,For Rent,,,"BDT 15,000/-",2900 Sq Ft.,2900 Sq Ft Nicely Planned Office space Is Available For Rent In Banani, 20 Units,,04,1995
"Road 1, Office Space Rent in Banani, Dhaka",,,Basement 01,,, East Facing, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",2nd floor, 40 Ft.,120 Sq Ft,,,Semi-Furnished,01,Road 1,01,," BDT 100,000/-", Residential Cum Commercial,https://rents.com.bd/property/wonderful-office-space-covering-an-area-of-2234-sq-ft-is-available-for-rent-in-banani/,For Rent,,,BDT 8500/-,2234 Sq Ft.,Wonderful Office Space Covering An Area Of 2234 Sq Ft Is Available For Rent In Banani, 06 Units,2B,02,2008
"Gulshan 2 Circle, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, North Facing, Commercial,550 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",4th & 6th floor, 60 Ft.,240 Sq Ft,,,Un-Furnished,02,Gulshan 2 Circle,02,," BDT 10,73,000/- (BDT 145/- Per Sq Ft)", Commercial,https://rents.com.bd/property/well-built-and-properly-designed-commercial-space-of-7400-sq-ft-for-rent-in-gulshan/,For Rent,,,"BDT 111,000/- (BDT 15/- Per Sq Ft)",7400 Sq Ft.,Well Built And Properly Designed Commercial Space of 7400 SQ FT For Rent In Gulshan, 13 Units,,01,2020
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, West Facing, Commercial,150 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",Ground floor, 60 Ft.,120 Sq Ft,,,Un-Furnished,03,Gulshan Avenue,01,," BDT 704,400/- (BDT 600/- Per Sq Ft)", Commercial,https://rents.com.bd/property/a-finely-built-1174-sq-ft-brand-new-commercial-space-is-up-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 17,610/- (BDT 15/- Per Sq Ft)",1174 Sq Ft.,A Finely Built 1174 Sq Ft Brand New Commercial Space Is Up For Rent In Gulshan Avenue, 23 Units,,01,2022
"Road 95, Furnished Apartment Rent in Gulshan [Dhaka BD], Residential, Dhaka", South, 02 Balconies,,03 Bathrooms,03 Bedrooms,North, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",6th Floor,24 Ft,120 Sq Ft, L.P.G, Basic Rules, Fully-Furnished,02, Road 95,"
", Foreigner,"BDT 110,000/-", Residential,https://rents.com.bd/property/rarely-available-a-2000-sq-ft-furnished-apartment-is-ready-for-rent-in-gulshan-with-satisfactory-price/,For Rent, 01, 01, BDT 9000/-,2000 Sq Ft,Rarely Available A 2000 Sq Ft Furnished Apartment Is Ready for Rent In Gulshan With Satisfactory Price,20 Units,A6, 02,2010
"Road 12, Commercial Space Rent in Banani, Dhaka",,,Basement 02,,, South Facing, Commercial,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",7th floor, 60 Ft.,120 Sq Ft,,,Un-Furnished,02,Road 12,01,," BDT 220,000/-", Commercial,https://rents.com.bd/property/well-fitted-commercial-space-is-here-available-for-rental-purpose-covering-2000-sq-ft-in-banani-2/,For Rent,,,"BDT 20,000/-",2000 Sq Ft.,Well Fitted Commercial Space Is Here Available For Rental Purpose Covering 2000 Sq Ft In Banani, 10 Units,,01,2010
"Gulshan Avenue, Restaurants Space Rent in Gulshan, Dhaka",,,Basement 01,,, South Facing, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",Ground floor (Duplex), 60 Ft.,120 Sq Ft,,,Un-Furnished,01,Gulshan Avenue,01,," BDT 300,000/-", Restaurant,https://rents.com.bd/property/a-dazzling-2400-sq-ft-restaurant-space-is-up-for-rent-located-at-south-gulshan/,For Rent,,,"BDT 20,000/-",2400 Sq Ft.,A Dazzling 2400 Sq Ft Restaurant Space Is Up For Rent Located At South Gulshan, 6 Units,,01,2000
"Road 41, Office Space Rent in Gulshan, Dhaka",,,Basement 02,,, East Facing, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",7th, 40 Ft.,240 Sq Ft,,,Un-Furnished,02,Road 41,02,," BDT 160,000/-", Residential Cum Commercial,https://rents.com.bd/property/a-nicely-constructed-office-space-of-2900-sq-ft-available-now-for-rent-in-gulshan/,For Rent,,,"BDT 10,000/-",2900 Sq Ft.,A Nicely Constructed Office Space Of 2900 Sq Ft  Available Now For Rent In Gulshan, 11 Units,7A,02,2020
"Road 11, Office Space Rent in Banani, Dhaka",,,Basement 01,,, South Facing, Residential,220 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",4th floor, 40 Ft.,120 Sq Ft,,,Un-Furnished,01,Road 11,01,," BDT 216,000/- (BDT 60/- Per Sq Ft)", Residential Cum Commercial,https://rents.com.bd/property/wonderful-office-space-covering-an-area-of-3600-sq-ft-is-available-for-rent-in-banani/,For Rent,,,At Actual,3600 Sq Ft.,Wonderful Office Space Covering An Area Of 3600 Sq Ft Is Available For Rent In Banani, 06 Units,A4,01,2002
"Road 11, Office Space Rent in Banani, Dhaka",,,,,,South, Residential,2200 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",Ground to 6th floor,40 Ft,960 Sq Ft, Govt., Basic Rules, Un-Furnished,01, Road 11,"
", Foreigner,BDT 15 Lac (BDT 60/- Per Sq Ft), Residential Cum Commercial,https://rents.com.bd/property/a-modern-well-planned-independent-house-of-25000-sq-ft-is-up-for-rent-in-banani/,For Rent,,, At Actual,25000 Sq Ft,A Modern Well-planned Independent House Of 25000 Sq Ft Is Up For Rent In Banani,G+6 Units,Independent House, 01,2002
"Road 75, Apartment Rent in Gulshan, Residential, Dhaka", South, 03 Balconies,,04 Bathrooms,04 Bedrooms,North, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",4th Floor,24 Ft,240 Sq Ft, Govt, Basic Rules, Un-Furnished,01,Road 75,"
", Foreigner,"BDT 130,000/-", Residential,https://rents.com.bd/property/in-the-prominent-location-of-gulshan-this-beautiful-apartment-of-2900-sq-ft-is-waiting-for-rent/,For Rent, 01, 01," BDT 10,000/-",2900 Sq Ft,"In the Prominent Location Of Gulshan, This Beautiful Apartment Of 2900 Sq. Ft. Is Waiting For Rent",10 Units,A4, 02,2009
"Road 70, Apartment Rent in Gulshan, Residential, Dhaka", West, 03 Balconies,,04 Bathrooms,04 Bedrooms,North, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",4th Floor,16 Ft,360 Sq Ft, Govt, Basic Rules, Un-Furnished,02,Road 70,"
", Foreigner,"BDT 150,000/-", Residential,https://rents.com.bd/property/a-nicely-constructed-apartment-of-2900-sq-ft-available-now-for-rent-in-gulshan/,For Rent, 01, 01," BDT 12,000/-",2900 Sq Ft,A Nicely Constructed Apartment Of 2900 Sq Ft Available Now For Rent In Gulshan,10 Units,A4, 02,2004
"Road 25, Apartment Rent in Gulshan, Residential, Dhaka", East, 07 Balconies,,04 Bathrooms,04 Bedrooms,South, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",1st-7th Floor Available,24 Ft,120 Sq Ft, L.P.G, Basic Rules, Semi-Furnished,02,Road 25,"
", Foreigner,"BDT 250,000/-", Residential,https://rents.com.bd/property/brand-new-4000-sq-ft-flat-is-here-available-for-rental-purpose-located-at-gulshan/,For Rent, 01, 01," BDT 20,000/-",4000 Sq Ft,Brand New 4000 Sq Ft Flat Is Here Available For Rental Purpose Located At Gulshan,09 Units,A1- A7, 01,2023
"Tejgaon Link Road, Commercial, Dhaka",,,Basement 04,,, South Facing, Commercial,550 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",3rd floor, 60 Ft.,240 Sq Ft.,,,Fully-Furnished,01,Tejgaon Link Road,"
",," BDT 11,25,000/- (BDT 150/- per Sq Ft)", Commercial,https://rents.com.bd/property/exclusive-fully-furnished-commercial-space-of-7500-sq-ft-here-available-for-rent-in-tejgaon/,For Rent,,,"BDT 75,000/- (BDT 10/- per Sq Ft)",7500 Sq Ft.,Exclusive Fully Furnished Commercial Space Of 7500 Sq Ft Here Available For Rent In Tejgaon, 5 Units,,01,2021
"Park Road, Apartment Rent in Baridhara Diplomatic Zone, Residential, Dhaka", South, 03 Balconies,,04 Bathrooms,04 Bedrooms,North, Residential,250 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Baridhara Park,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",1st Floor,24 Ft,240 Sq Ft, L.P.G, Basic Rules, Un-Furnished,02,Park Road,"
", Foreigner,"BDT 250,000/-", Residential,https://rents.com.bd/property/a-nicely-constructed-apartment-of-3700-sq-ft-is-available-for-rent-in-baridhara-diplomatic-zone/,For Rent, 01, 01," BDT 15,000/-",3700 Sq Ft,A Nicely Constructed Apartment Of 3700 Sq Ft Is Available For Rent In Baridhara Diplomatic Zone,10 Units,1A, 01,2012
"Road 100, Apartment Rent in Gulshan, Residential, Dhaka", North, 02 Balconies,,03 Bathrooms,03 Bedrooms,North, Residential,180 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",7th Floor,24 Ft,120 Sq Ft, L.P.G, Basic Rules, Fully-Furnished,02,Road 100,"
", Foreigner,"BDT 165,000/-", Residential,https://rents.com.bd/property/a-nicely-constructed-fully-furnished-apartment-of-2300-sq-ft-is-available-for-rent-in-gulshan/,For Rent, 01, 01," BDT 12,000/-",2300 Sq Ft,A Nicely Constructed Fully Furnished Apartment Of 2300 Sq Ft Is Available For Rent In Gulshan,20 Units,A7, 02,2016
"Road 113, Furnished Apartment Rent in Gulshan [Dhaka BD], Residential, Dhaka", West, 02 Balconies,,04 Bathrooms,03 Bedrooms,North, Residential,220 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",9th Floor,24 Ft,120 Sq Ft, L.P.G, Basic Rules, Fully-Furnished,02,Road 113,"
", Foreigner,"BDT 210,000/-", Residential,https://rents.com.bd/property/a-nicely-constructed-fully-furnished-apartment-of-3000-sq-ft-available-now-for-rent-in-gulshan/,For Rent, 01, 01," BDT 12,500/-",3000 Sq Ft,A Nicely Constructed Fully-Furnished Apartment Of 3000 Sq Ft Available Now For Rent In Gulshan,09 Units,A9, 01,2017
"Tejgaon Link Road, Commercial, Dhaka",,,Basement 04,,, South Facing, Commercial,120 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",1st floor, 60 Ft.,N/A,,,Fully-Furnished,01,Tejgaon Link Road,N/A,," BDT 192,000/- (BDT 120/- per Sq Ft)", Commercial,https://rents.com.bd/property/fully-furnished-commercial-space-of-1600-sq-ft-is-ready-for-rent-in-tejgaon/,For Rent,,,"BDT 16,000/- (BDT 10/- per Sq Ft)",1600 Sq Ft.,Fully Furnished Commercial Space Of 1600 Sq Ft Is Ready For Rent In Tejgaon, 5 Units,,01,2021
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 02,,, West Facing, Commercial,120 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",5th floor, 60 Ft.,120 Sq Ft,,,Un-Furnished,02,Gulshan Avenue,01,," BDT 182,000/- (BDT 130/- Per Sq Ft)", Commercial,https://rents.com.bd/property/a-nicely-constructed-commercial-space-of-1400-sq-ft-is-available-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 14,000/- (BDT 10/- Per Sq Ft)",1400 Sq Ft.,A Nicely Constructed Commercial Space Of 1400 Sq Ft Is Available For Rent In Gulshan Avenue, 06 Units,,01,2005
"Kemal Ataturk Avenue, Office Space Rent in Banani, Dhaka",,,Basement 08,,, East Facing, Residential,4050 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Residential cum commercial building,Road side view,WiFi",Independent House, 30 Ft.,960 Sq Ft.,,,Un-Furnished,01,Kemal Ataturk Avenue,"
",," BDT 19,50,000/- (BDT 65/- Per Sq. Ft.)", Residential Cum Commercial,https://rents.com.bd/property/30000-sq-ft-independent-house-now-vacant-for-rent-in-banani/,For Rent,,,At Actual,30000 Sq Ft.,30000 Sq. Ft Independent House Now Vacant For Rent In Banani, 07 Units,,01,2000
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 10,,, South Facing, Commercial,5000 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",2nd-9th floor, 60 Ft.,1080 Sq Ft.,,,Un-Furnished,02,Gulshan Avenue,"
",," BDT 45,60,000/- (BDT 95/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/brand-new-48000-sq-ft-commercial-full-building-available-for-rent-in-gulshan/,For Rent,,,"BDT 480,000/- (BDT 10/- Per Sq. Ft.)",48000 Sq Ft.,Brand New 48000 Sq. Ft. Commercial Full Building Available For Rent In Gulshan, G+9 Units,,01,2022
"Gulshan Avenue, Commercial Space Rent in Gulshan, Dhaka",,,Basement 03,,, West Facing, Commercial,120 Sq Ft,"24 hours CC TV coverage,Automatic fire alarm system,Commercial approved space,Corner Plot,Dedicated Electricity Line,Generator Backup,Good Location,Open Space,Road side view,WiFi",10th floor, 60 Ft.,120 Sq Ft.,,,Un-Furnished,03,Gulshan Avenue,"
",," BDT 300,000/- (BDT 200/- Per Sq. Ft.)", Commercial,https://rents.com.bd/property/well-built-and-properly-designed-commercial-space-of-1500-sq-ft-now-vacant-for-rent-in-gulshan-avenue/,For Rent,,,"BDT 30,000/- (BDT 20/- Per Sq. Ft.)",1500 Sq Ft.,Well Built And Properly Designed Commercial Space Of 1500 SQ FT Now Vacant For Rent In Gulshan Avenue, 13 Units,,01,2012
